Beschouwd Jaar;Beroepsklasse;Leeftijdsklasse;Aantal validen;Verzekerde rente in euro's;Som uitkeringspercentage met ziektedatum in de eerste 9 maanden van jaar t
2004;1;15 tm 25;291;2236436;0
2004;1;26 tm 30;1664;19446219;564
2004;1;31 tm 35;4130;58985108;2495
2004;1;36 tm 40;4195;84335669;2029
2004;1;41 tm 45;3077;58859278;2936
2004;1;46 tm 50;3872;79725314;2990
2004;1;51 tm 55;2333;42002031;1572
2004;1;56 tm 60;1656;24545951;815
2004;1;61 tot 65;176;2959686;0
2004;2;15 tm 25;598;4957806;314
2004;2;26 tm 30;3867;35370221;1324
2004;2;31 tm 35;4158;61525271;2082
2004;2;36 tm 40;4154;93307732;4036
2004;2;41 tm 45;6768;90969521;3669
2004;2;46 tm 50;5632;107046863;5248
2004;2;51 tm 55;4495;86883769;3648
2004;2;56 tm 60;2094;24715641;2484
2004;2;61 tot 65;277;4193767;485
2004;3;15 tm 25;2383;21603374;2028
2004;3;26 tm 30;6024;64334467;7490
2004;3;31 tm 35;11047;150018858;10911
2004;3;36 tm 40;8491;177965018;12733
2004;3;41 tm 45;8659;122452927;12761
2004;3;46 tm 50;8391;146311124;13493
2004;3;51 tm 55;9221;159622613;17566
2004;3;56 tm 60;5287;62616845;10317
2004;3;61 tot 65;994;11129395;2882
2004;4;15 tm 25;1158;14577534;527
2004;4;26 tm 30;5269;60364238;3801
2004;4;31 tm 35;7686;93000593;5282
2004;4;36 tm 40;6995;95274558;10977
2004;4;41 tm 45;4041;59255039;6133
2004;4;46 tm 50;6099;69949194;7857
2004;4;51 tm 55;4301;48678918;8633
2004;4;56 tm 60;1816;18840759;4587
2004;4;61 tot 65;543;4028677;580
2004;5;15 tm 25;2321;16073059;847
2004;5;26 tm 30;7291;47071168;8297
2004;5;31 tm 35;6750;77161709;11175
2004;5;36 tm 40;5630;80029088;10789
2004;5;41 tm 45;4065;71226735;11142
2004;5;46 tm 50;6501;53634101;7721
2004;5;51 tm 55;3737;56232075;5641
2004;5;56 tm 60;1683;15626004;6746
2004;5;61 tot 65;404;2627445;721
2004;6;15 tm 25;1207;14191094;2354
2004;6;26 tm 30;6132;73800416;4654
2004;6;31 tm 35;10169;105413850;6037
2004;6;36 tm 40;12791;87767482;6087
2004;6;41 tm 45;9675;107242030;7265
2004;6;46 tm 50;10628;96279857;9644
2004;6;51 tm 55;7702;89985219;13382
2004;6;56 tm 60;5039;41174609;9615
2004;6;61 tot 65;1553;11566411;2854
2005;1;15 tm 25;516;3170349;522
2005;1;26 tm 30;2021;29940175;288
2005;1;31 tm 35;4571;105222787;2271
2005;1;36 tm 40;5828;86634238;2555
2005;1;41 tm 45;3427;85979554;2891
2005;1;46 tm 50;4569;93830105;2873
2005;1;51 tm 55;2878;69910162;5715
2005;1;56 tm 60;1247;19124371;1645
2005;1;61 tot 65;185;3052737;0
2005;2;15 tm 25;628;7796731;507
2005;2;26 tm 30;3300;35370180;2777
2005;2;31 tm 35;6107;106212590;5339
2005;2;36 tm 40;4633;132534045;6934
2005;2;41 tm 45;4616;120773286;5956
2005;2;46 tm 50;4475;74974602;4339
2005;2;51 tm 55;3642;76176351;8780
2005;2;56 tm 60;2441;45309921;3633
